customer_id,client_customer_id,client_subentity,client_customer_city,client_customer_region,payment_terms,client_payment_instrument
7,60000075,60,Karachi,PK,Payment_Terms_A,A
9,60000077,60,Lahore,PK,Payment_Terms_B,A
322,60001699,60,Islamabad,PK,Payment_Terms_C,A
1651,50001712,50,,CA,Payment_Terms_A,A
2826,50002632,50,,PK,Payment_Terms_A,A
3817,50003662,50,,China,Payment_Terms_D,A
3981,50003240,50,,PK,Payment_Terms_C,A
6574,50004048,50,Tehran,Iran,Payment_Terms_A,A
7381,92001425,92,Multan,PK,Payment_Terms_B,A
8608,50006297,50,Toronto,CA,Payment_Terms_D,H
